ifInOctets11_diff,ifInDiscards11_diff,ifOutOctets11_diff,tcpInSegs_diff,tcpRetransSegs_diff,tcpEstabResets_diff,tcpOutSegs_diff,udpInDatagrams_diff,udpOutDatagrams_diff,udpNoPorts_diff,ipInReceives_diff,ipInDelivers_diff,ipOutRequests_diff,ipInDiscards_diff,ipInAddrErrors_diff,ipOutDiscards_diff,icmpInMsgs_diff,icmpOutMsgs_diff,icmpInDestUnreachs_diff,icmpOutDestUnreachs_diff,icmpInEchos_diff,icmpOutEchoReps_diff,class
1435361039,144,2150880552,34738722,17638,6921018,26974269,21812581,6804070,5350355,69010135,69009522,36714766,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1435581505,144,2150920047,34738864,17642,6921019,26974398,21812931,6804172,5350355,69010622,69010009,36714994,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1435992776,144,2151017483,34739062,17648,6921019,26974570,21813208,6804343,5350355,69011170,69010557,36715409,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1437960094,144,2151112532,34739625,17648,6921019,26975068,21813583,6804469,5350355,69012040,69011427,36715966,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1438159036,144,2151126819,34739636,17648,6921019,26975079,21813789,6804550,5350355,69012260,69011647,36716060,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1438391106,144,2151184475,34739772,17650,6921019,26975197,21814224,6804719,5350355,69012805,69012192,36716348,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1438772073,144,2151216032,34739791,17650,6921019,26975217,21814436,6804819,5350355,69013030,69012417,36716463,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1438981039,144,2151252670,34739872,17651,6921019,26975307,21814813,6804965,5350355,69013524,69012911,36716727,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1439411098,144,2151418849,34740148,17653,6921043,26975627,21815345,6805092,5350355,69014078,69013465,36717112,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1439521814,144,2151446589,34740194,17653,6921043,26975683,21815415,6805160,5350355,69014192,69013579,36717228,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1439544749,144,2151463862,34740234,17653,6921043,26975722,21815561,6805219,5350355,69014303,69013690,36717328,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1439548139,144,2151465643,34740261,17653,6921043,26975749,21815605,6805263,5350355,69014376,69013763,36717398,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1439555578,144,2151469651,34740293,17653,6921043,26975780,21815650,6805308,5350355,69014455,69013842,36717475,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
